text,category,urgency,template_group_id
Student club requesting approval to host blood donation drive in the activity center.,Other,Low,T_OTH_006
Boiler pressure valve in residential block ruptured spewing hot steam causing inconvenience to students and staff.,Plumbing,High,T_PLM_011
Lost silver laptop charger left behind in Lecture Hall 3 after the 2 PM session causing inconvenience to students and staff.,Other,Low,T_OTH_003
Waste drainage pipe under library washbasin is uncoupled and leaking reported earlier today.,Plumbing,Medium,T_PLM_005
Carpet in the seminar room has a persistent damp musty smell reported earlier today.,Cleanliness,Low,T_CLN_016
The door lock in Room 304 has been broken and the door cannot latch shut.,Maintenance,Medium,T_MNT_001
Common room furniture upholstery is shredded and dirty.,Facilities,Low,T_FAC_016
The main entry door of the Chemistry department is jammed shut noticed by several students.,Maintenance,Medium,T_MNT_009
Drone flown unauthorized over student dormitory recreational area.,Other,Medium,T_OTH_018
Stench of rotting garbage emanating from dumpsters behind the student canteen which is affecting normal activities.,Cleanliness,Medium,T_CLN_006
Electric water geyser in sports locker room blew its internal fuse which is affecting normal activities.,Electrical,Medium,T_ELC_017
Student health insurance card was not delivered to international freshmen.,Administration,Medium,T_ADM_012
Pedestrian pathway behind the sports arena has no functioning street lighting at night several people have pointed this out.,Safety,High,T_SAF_005
Campus parking lot B is congested due to non-permitted external commercial vehicles affecting people in the area.,Transport,Low,T_TRN_005
Lecture hall capacity is 40 seats but 65 students are enrolled in the course causing inconvenience to students and staff.,Academic,Medium,T_ACD_010
Outdoor seating benches in the courtyard have broken wooden slats.,Maintenance,Low,T_MNT_016
Lockers in the biology laboratory cannot be locked securely.,Facilities,Low,T_FAC_017
Shuttle bus headlamp is dead on the driver side during night service since yesterday morning.,Transport,High,T_TRN_016
Heavy dust and cobwebs hanging from the ceiling corners in Room 204.,Cleanliness,Low,T_CLN_004
Staircase handrail near Block B emergency exit is loose and unstable.,Maintenance,Medium,T_MNT_007
Drone flown unauthorized over student dormitory recreational area causing inconvenience to students and staff.,Other,Medium,T_OTH_018
All computers in Lab 204 have been frozen and displaying a blue screen crash error.,IT,High,T_IT_004
Campus parking lot B has been congested due to non-permitted external commercial vehicles.,Transport,Low,T_TRN_005
Air conditioning outdoor compressor cable caught fire outside Block D.,Electrical,Critical,T_ELC_014
Water is leaking from ceiling tiles near cafeteria and floor is slippery.,Plumbing,High,T_PLM_001
Sewer gases backing up through drainage grates in ground floor corridor since yesterday morning.,Plumbing,Medium,T_PLM_012
Lecture hall capacity is 40 seats but 65 students are enrolled in the course.,Academic,Medium,T_ACD_010
Ethernet network port in faculty office 215 has been physically loose and broken.,IT,Low,T_IT_012
Boiler pressure valve in residential block ruptured spewing hot steam.,Plumbing,High,T_PLM_011
Corridor wall plaster in Block A has been peeling and dropping debris on the floor.,Maintenance,Low,T_MNT_014
Fluorescent ceiling tubes in Room 302 are flickering violently causing headaches causing inconvenience to students and staff.,Electrical,Low,T_ELC_002
CCTV security camera covering the female dormitory entrance is damaged affecting people in the area.,Safety,High,T_SAF_012
Discarded beverage containers and food wrappers strewn across library desks for the past two days.,Cleanliness,Low,T_CLN_014
Whiteboard in Room 205 detached from the wall bracket.,Maintenance,Low,T_MNT_008
No Objection Certificate document for mandatory internship visa is pending approval for weeks reported earlier today.,Administration,Medium,T_ADM_007
Hand sanitizer dispensers throughout the science block have been completely dry.,Facilities,Low,T_FAC_018
Graffiti scrawled on hallway walls in Block D second floor.,Cleanliness,Low,T_CLN_017
Partition divider in Seminar Hall 1 is unsteady and rattling since yesterday morning.,Maintenance,Low,T_MNT_019
Late payment penalty fee levied despite proof of payment before deadline date.,Administration,High,T_ADM_011
Midterm examination timetable has scheduled two core subjects at the exact same hour.,Academic,High,T_ACD_002
Graduation clearance portal is rejecting attested valid degree documentation causing inconvenience to students and staff.,Administration,High,T_ADM_014
Main electrical distribution panel in basement is producing visible arcing sparks.,Electrical,Critical,T_ELC_010
Elevator in the Administration building is making grinding noises and jerking abruptly causing inconvenience to students and staff.,Maintenance,High,T_MNT_004
Students are unable to log into the portal from the Library terminals.,IT,Medium,T_IT_002
Underground main water supply conduit burst forming a deep trench near courtyard.,Plumbing,High,T_PLM_008
Pigeon droppings accumulated across windowsills and desks in Block C.,Cleanliness,Low,T_CLN_003
Exhaust ventilation fan in the workshop is screeching loudly.,Maintenance,Medium,T_MNT_012
Bus timetable posted on campus board contradicts the digital schedule.,Transport,Low,T_TRN_020
No Objection Certificate document for mandatory internship visa is pending approval for weeks.,Administration,Medium,T_ADM_007
Lost black leather wallet containing student identity card and bank cards near library since yesterday morning.,Other,Low,T_OTH_001
Prerequisite waiver has not been processed on the portal blocking graduation registration.,Academic,High,T_ACD_014
The main entry door of the Chemistry department has been jammed shut.,Maintenance,Medium,T_MNT_009
Gymnasium pulley cable snapped during a workout posing severe hazard.,Facilities,High,T_FAC_005
Overhead water pipe dripping directly above computer server racks.,Plumbing,Critical,T_PLM_013
Requesting information on guest parking passes for visiting family members which is affecting normal activities.,Other,Low,T_OTH_013
Water has been leaking from ceiling tiles near cafeteria and floor has been slippery.,Plumbing,High,T_PLM_001
The campus wireless signal has been completely dead in the science building basement.,IT,Medium,T_IT_013
Window blinds in Room 410 are jammed in the lowered position this has been ongoing since last week.,Maintenance,Low,T_MNT_010
Corridor motion sensors for automatic lights are defective affecting people in the area.,Electrical,Low,T_ELC_018
Faculty feedback evaluation form link is throwing a session timeout error reported earlier today.,Academic,Medium,T_ACD_008
Desks and chairs in Room 102 have wobbly legs and damaged surfaces.,Maintenance,Low,T_MNT_006
The Wi-Fi network keeps disconnecting every few minutes in Computer Lab 3.,IT,Medium,T_IT_001
Exhaust ventilation fan in the workshop has been screeching loudly.,Maintenance,Medium,T_MNT_012
Internet speed in the male dormitory has been sluggish since yesterday causing inconvenience to students and staff.,IT,Low,T_IT_005
Transport pass renewal counter clerk behaved discourteously to queuing students.,Administration,Low,T_ADM_016
Microphone sound system in Auditorium B has been corrupted with heavy static noise.,IT,Low,T_IT_009
Common room furniture upholstery is shredded and dirty this has been ongoing since last week.,Facilities,Low,T_FAC_016
Window blinds in Room 410 are jammed in the lowered position.,Maintenance,Low,T_MNT_010
Insufficient seating on morning shuttle forcing students to stand in the aisle observed during the morning class.,Transport,Medium,T_TRN_004
Staircase handrail near Block B emergency exit has been loose and unstable.,Maintenance,Medium,T_MNT_007
Lost silver laptop charger left behind in Lecture Hall 3 after the 2 PM session.,Other,Low,T_OTH_003
Squash court door glass panel has been loose and vibrating on impact.,Facilities,Medium,T_FAC_020
Campus e-learning portal crashed right during the online assignment submission window.,IT,High,T_IT_008
Driver bypassed scheduled student stop leaving ten students stranded.,Transport,Medium,T_TRN_018
Security guard post at the East Gate was left completely unmanned overnight.,Safety,Medium,T_SAF_009
Underground main water supply conduit burst forming a deep trench near courtyard several people have pointed this out.,Plumbing,High,T_PLM_008
Campus parking lot B is congested due to non-permitted external commercial vehicles.,Transport,Low,T_TRN_005
VPN authentication server is rejecting valid student credentials.,IT,High,T_IT_016
Sink tap in faculty kitchenette is dripping constantly and won't turn off which is affecting normal activities.,Plumbing,Low,T_PLM_016
HDMI cable attached to the teaching podium in Room 210 has been torn.,IT,Low,T_IT_018
Central auditorium ventilation system is blowing hot dusty air observed during the morning class.,Facilities,Medium,T_FAC_007
Tuition fee refund request for duplicate transaction is delayed over four weeks.,Administration,Medium,T_ADM_001
Recycling receptacles in Computer Lab 1 have not been emptied for days noticed by several students.,Cleanliness,Low,T_CLN_011
Heavy main entrance gate hinges are squeaking and sticking reported earlier today.,Maintenance,Low,T_MNT_020
Driver bypassed scheduled student stop leaving ten students stranded noticed by several students.,Transport,Medium,T_TRN_018
Balcony protective railing on 4th floor Block C is structurally compromised.,Safety,Critical,T_SAF_020
Midterm examination timetable has scheduled two core subjects at the exact same hour since yesterday morning.,Academic,High,T_ACD_002
Shower floor drain in hostel room 304 is blocked with pooling stagnant water causing inconvenience to students and staff.,Plumbing,Medium,T_PLM_010
Prerequisite waiver has not been processed on the portal blocking graduation registration noticed by several students.,Academic,High,T_ACD_014
Desks and chairs in Room 102 have wobbly legs and damaged surfaces affecting people in the area.,Maintenance,Low,T_MNT_006
Air conditioning inside university commuter bus 5 is defective which is affecting normal activities.,Transport,Low,T_TRN_003
Indoor sports court synthetic flooring has torn seams creating trip hazards.,Facilities,Medium,T_FAC_006
Auditorium stage lighting panel emitting burnt plastic smell during rehearsal.,Electrical,High,T_ELC_016
Inquiry regarding procedure for campus locker deposit return affecting people in the area.,Other,Low,T_OTH_016
Central auditorium ventilation system has been blowing hot dusty air.,Facilities,Medium,T_FAC_007
